"AVAILABLEMEMORY","CPULOADLAST15MINUTE","CPULOADLAST1MINUTE","CPULOADLAST5MINUTE","FREEMEMORY","FREESWAPMEMORY","TIME","TOTALMEMORY","TOTALSWAPMEMORY","USEDMEMORY","USEDSWAPMEMORY"
"6254","1.54","0.75","1.44","2254","0","00:05:59","15894","0","8318","40"
"6254","1.54","0.75","1.44","2254","0","00:06:00","15894","0","8319","40"
"6254","1.54","0.75","1.44","2254","0","00:06:01","15894","0","8319","40"
"6254","1.54","0.75","1.44","2254","0","00:06:02","15894","0","8318","40"
"6256","1.54","0.75","1.44","2255","0","00:06:03","15894","0","8317","40"
"6256","1.53","0.69","1.41","2256","0","00:06:04","15894","0","8317","40"
"6256","1.53","0.69","1.41","2256","0","00:06:05","15894","0","8317","40"
"6256","1.53","0.69","1.41","2256","0","00:06:06","15894","0","8317","40"
"6255","1.53","0.69","1.41","2255","0","00:06:07","15894","0","8317","40"
"6256","1.53","0.69","1.41","2256","0","00:06:08","15894","0","8317","40"
"6255","1.53","0.63","1.39","2255","0","00:06:09","15894","0","8318","40"
"6255","1.53","0.63","1.39","2255","0","00:06:10","15894","0","8318","40"
"6255","1.53","0.63","1.39","2255","0","00:06:11","15894","0","8318","40"
"6255","1.53","0.63","1.39","2255","0","00:06:12","15894","0","8318","40"
"6255","1.53","0.63","1.39","2255","0","00:06:13","15894","0","8318","40"
"6255","1.52","0.58","1.37","2255","0","00:06:14","15894","0","8318","40"
"6255","1.52","0.58","1.37","2255","0","00:06:15","15894","0","8318","40"
"6255","1.52","0.58","1.37","2255","0","00:06:16","15894","0","8318","40"
"6255","1.52","0.58","1.37","2255","0","00:06:17","15894","0","8318","40"
"6255","1.52","0.58","1.37","2255","0","00:06:18","15894","0","8318","40"
"6255","1.51","0.53","1.34","2255","0","00:06:19","15894","0","8318","40"
"6255","1.51","0.53","1.34","2255","0","00:06:20","15894","0","8318","40"
"6255","1.51","0.53","1.34","2254","0","00:06:21","15894","0","8318","40"
"6254","1.51","0.53","1.34","2254","0","00:06:22","15894","0","8318","40"
"6255","1.51","0.53","1.34","2254","0","00:06:23","15894","0","8318","40"
"6253","1.50","0.49","1.32","2253","0","00:06:24","15894","0","8319","40"
"6253","1.50","0.49","1.32","2253","0","00:06:25","15894","0","8320","40"
"6254","1.50","0.49","1.32","2254","0","00:06:26","15894","0","8319","40"
"6255","1.50","0.49","1.32","2254","0","00:06:27","15894","0","8318","40"
"6255","1.50","0.49","1.32","2254","0","00:06:28","15894","0","8318","40"
"6255","1.49","0.45","1.30","2254","0","00:06:29","15894","0","8318","40"
"6255","1.49","0.45","1.30","2254","0","00:06:30","15894","0","8318","40"
"6255","1.49","0.45","1.30","2254","0","00:06:31","15894","0","8318","40"
"6254","1.49","0.45","1.30","2254","0","00:06:32","15894","0","8318","40"
"6254","1.49","0.45","1.30","2254","0","00:06:33","15894","0","8318","40"
"6254","1.48","0.41","1.28","2254","0","00:06:34","15894","0","8318","40"
"6254","1.48","0.41","1.28","2254","0","00:06:35","15894","0","8318","40"
"6257","1.48","0.41","1.28","2256","0","00:06:36","15894","0","8316","40"
"6256","1.48","0.41","1.28","2256","0","00:06:37","15894","0","8316","40"
"6256","1.48","0.41","1.28","2256","0","00:06:38","15894","0","8316","40"
"6256","1.48","0.38","1.25","2256","0","00:06:39","15894","0","8316","40"
"6256","1.48","0.38","1.25","2256","0","00:06:40","15894","0","8316","40"
"6256","1.48","0.38","1.25","2256","0","00:06:41","15894","0","8316","40"
"6256","1.48","0.38","1.25","2256","0","00:06:42","15894","0","8316","40"
"6251","1.48","0.38","1.25","2251","0","00:06:43","15894","0","8322","40"
"6256","1.47","0.35","1.23","2256","0","00:06:44","15894","0","8317","40"
"6257","1.47","0.35","1.23","2256","0","00:06:45","15894","0","8316","40"
"6256","1.47","0.35","1.23","2256","0","00:06:46","15894","0","8316","40"
"6257","1.47","0.35","1.23","2256","0","00:06:47","15894","0","8316","40"
"6256","1.47","0.35","1.23","2256","0","00:06:48","15894","0","8317","40"
"6256","1.46","0.32","1.21","2256","0","00:06:49","15894","0","8316","40"
"6257","1.46","0.32","1.21","2256","0","00:06:50","15894","0","8316","40"
"6256","1.46","0.32","1.21","2255","0","00:06:51","15894","0","8316","40"
"6256","1.46","0.32","1.21","2255","0","00:06:52","15894","0","8316","40"
"6257","1.46","0.32","1.21","2256","0","00:06:53","15894","0","8316","40"
"6257","1.45","0.30","1.19","2256","0","00:06:54","15894","0","8316","40"
"6257","1.45","0.30","1.19","2256","0","00:06:55","15894","0","8316","40"
"6256","1.45","0.30","1.19","2256","0","00:06:56","15894","0","8317","40"
"6256","1.45","0.30","1.19","2256","0","00:06:57","15894","0","8317","40"
"6256","1.45","0.30","1.19","2255","0","00:06:58","15894","0","8317","40"
"6256","1.44","0.27","1.17","2255","0","00:06:59","15894","0","8317","40"
"6256","1.44","0.27","1.17","2256","0","00:07:00","15894","0","8317","40"
"6256","1.44","0.27","1.17","2256","0","00:07:01","15894","0","8317","40"
"6257","1.44","0.27","1.17","2256","0","00:07:02","15894","0","8316","40"
"6257","1.44","0.27","1.17","2256","0","00:07:03","15894","0","8316","40"
"6256","1.44","0.25","1.15","2256","0","00:07:04","15894","0","8317","40"
"6256","1.44","0.25","1.15","2256","0","00:07:05","15894","0","8317","40"
"6256","1.44","0.25","1.15","2256","0","00:07:06","15894","0","8317","40"
"6256","1.44","0.25","1.15","2256","0","00:07:07","15894","0","8317","40"
"6256","1.44","0.25","1.15","2256","0","00:07:08","15894","0","8317","40"
"6257","1.47","0.79","1.25","2257","0","00:07:09","15894","0","8315","40"
"6258","1.47","0.79","1.25","2257","0","00:07:10","15894","0","8315","40"
"6258","1.47","0.79","1.25","2257","0","00:07:11","15894","0","8315","40"
"6258","1.47","0.79","1.25","2257","0","00:07:12","15894","0","8315","40"
"6257","1.47","0.79","1.25","2257","0","00:07:13","15894","0","8316","40"
"6257","1.46","0.73","1.23","2257","0","00:07:14","15894","0","8315","40"
"6262","1.46","0.73","1.23","2262","0","00:07:15","15894","0","8311","40"
"6262","1.46","0.73","1.23","2262","0","00:07:16","15894","0","8311","40"
"6262","1.46","0.73","1.23","2262","0","00:07:17","15894","0","8311","40"
"6262","1.46","0.73","1.23","2261","0","00:07:18","15894","0","8311","40"
"6262","1.45","0.67","1.21","2262","0","00:07:19","15894","0","8311","40"
"6262","1.45","0.67","1.21","2261","0","00:07:20","15894","0","8311","40"
"6262","1.45","0.67","1.21","2262","0","00:07:21","15894","0","8311","40"
"6262","1.45","0.67","1.21","2261","0","00:07:22","15894","0","8311","40"
"6262","1.45","0.67","1.21","2261","0","00:07:23","15894","0","8311","40"
"6259","1.45","0.78","1.22","2259","0","00:07:24","15894","0","8314","40"
"6256","1.45","0.78","1.22","2255","0","00:07:25","15894","0","8317","40"
"6256","1.45","0.78","1.22","2255","0","00:07:26","15894","0","8317","40"
"6255","1.45","0.78","1.22","2254","0","00:07:27","15894","0","8318","40"
"6255","1.45","0.78","1.22","2254","0","00:07:28","15894","0","8318","40"
"6255","1.45","0.71","1.20","2254","0","00:07:29","15894","0","8318","40"
"6255","1.45","0.71","1.20","2254","0","00:07:30","15894","0","8318","40"
"6255","1.45","0.71","1.20","2254","0","00:07:31","15894","0","8318","40"
"6254","1.45","0.71","1.20","2254","0","00:07:32","15894","0","8318","40"
"6255","1.45","0.71","1.20","2254","0","00:07:33","15894","0","8318","40"
"6255","1.44","0.66","1.18","2254","0","00:07:34","15894","0","8318","40"
"6255","1.44","0.66","1.18","2254","0","00:07:35","15894","0","8318","40"
"6255","1.44","0.66","1.18","2254","0","00:07:36","15894","0","8318","40"
"6255","1.44","0.66","1.18","2254","0","00:07:37","15894","0","8318","40"
"6254","1.44","0.66","1.18","2253","0","00:07:38","15894","0","8318","40"
"6254","1.43","0.60","1.16","2253","0","00:07:39","15894","0","8318","40"
"6254","1.43","0.60","1.16","2253","0","00:07:40","15894","0","8319","40"
"6254","1.43","0.60","1.16","2253","0","00:07:41","15894","0","8319","40"
"6254","1.43","0.60","1.16","2253","0","00:07:42","15894","0","8319","40"
"6254","1.43","0.60","1.16","2253","0","00:07:43","15894","0","8319","40"
"6254","1.42","0.55","1.14","2253","0","00:07:44","15894","0","8319","40"
"6253","1.42","0.55","1.14","2252","0","00:07:45","15894","0","8319","40"
"6253","1.42","0.55","1.14","2252","0","00:07:46","15894","0","8320","40"
"6253","1.42","0.55","1.14","2252","0","00:07:47","15894","0","8320","40"
"6253","1.42","0.55","1.14","2252","0","00:07:48","15894","0","8319","40"
"6253","1.41","0.51","1.12","2252","0","00:07:49","15894","0","8320","40"
"6253","1.41","0.51","1.12","2252","0","00:07:50","15894","0","8320","40"
"6253","1.41","0.51","1.12","2252","0","00:07:51","15894","0","8319","40"
